time,Ampl
7.45E-05,-1.80231
7.46E-05,-1.80193
7.47E-05,-1.80156
7.48E-05,-1.80118
7.49E-05,-1.80081
7.50E-05,-1.80043
7.51E-05,-1.80006
7.52E-05,-1.79968
7.53E-05,-1.79931
7.54E-05,-1.79893
7.55E-05,-1.79856
7.56E-05,-1.79831
7.57E-05,-1.79806
7.58E-05,-1.79768
7.59E-05,-1.79743
7.60E-05,-1.79718
7.61E-05,-1.79693
7.62E-05,-1.79668
7.63E-05,-1.79643
7.64E-05,-1.79631
7.65E-05,-1.79606
7.66E-05,-1.79568
7.67E-05,-1.79543
7.68E-05,-1.79518
7.69E-05,-1.79481
7.70E-05,-1.79456
7.71E-05,-1.79406
7.72E-05,-1.79368
7.73E-05,-1.79318
7.74E-05,-1.79268
7.75E-05,-1.79218
7.76E-05,-1.79168
0.0000777,-1.79118
7.78E-05,-1.79068
7.79E-05,-1.79018
7.80E-05,-1.78968
7.81E-05,-1.78918
7.82E-05,-1.78868
7.83E-05,-1.78818
7.84E-05,-1.78768
7.85E-05,-1.78731
7.86E-05,-1.78693
7.87E-05,-1.78681
7.88E-05,-1.78668
7.89E-05,-1.78656
7.90E-05,-1.78656
7.91E-05,-1.78681
7.92E-05,-1.78693
7.93E-05,-1.78718
7.94E-05,-1.78743
7.95E-05,-1.78781
7.96E-05,-1.78818
7.97E-05,-1.78856
7.98E-05,-1.78906
7.99E-05,-1.78943
8.00E-05,-1.78993
8.01E-05,-1.79043
8.02E-05,-1.79081
8.03E-05,-1.79118
8.04E-05,-1.79143
8.05E-05,-1.79156
8.06E-05,-1.79156
8.07E-05,-1.79143
8.08E-05,-1.79118
8.09E-05,-1.79068
8.10E-05,-1.79006
8.11E-05,-1.78943
8.12E-05,-1.78856
8.13E-05,-1.78756
8.14E-05,-1.78643
8.15E-05,-1.78531
8.16E-05,-1.78393
8.17E-05,-1.78268
8.18E-05,-1.78118
8.19E-05,-1.77981
8.20E-05,-1.77831
8.21E-05,-1.77693
8.22E-05,-1.77556
8.23E-05,-1.77418
8.24E-05,-1.77306
8.25E-05,-1.77193
8.26E-05,-1.77081
8.27E-05,-1.76993
8.28E-05,-1.76906
8.29E-05,-1.76831
8.30E-05,-1.76768
8.31E-05,-1.76718
8.32E-05,-1.76668
8.33E-05,-1.76631
8.34E-05,-1.76606
8.35E-05,-1.76581
8.36E-05,-1.76568
8.37E-05,-1.76543
8.38E-05,-1.76531
8.39E-05,-1.76518
8.40E-05,-1.76506
8.41E-05,-1.76493
8.42E-05,-1.76481
8.43E-05,-1.76468
8.44E-05,-1.76456
8.45E-05,-1.76443
8.46E-05,-1.76418
8.47E-05,-1.76406
8.48E-05,-1.76381
8.49E-05,-1.76368
8.50E-05,-1.76356
8.51E-05,-1.76331
8.52E-05,-1.76318
8.53E-05,-1.76293
8.54E-05,-1.76281
8.55E-05,-1.76256
8.56E-05,-1.76243
8.57E-05,-1.76231
8.58E-05,-1.76206
8.59E-05,-1.76193
8.60E-05,-1.76181
8.61E-05,-1.76156
8.62E-05,-1.76131
8.63E-05,-1.76106
8.64E-05,-1.76081
8.65E-05,-1.76056
8.66E-05,-1.76043
8.67E-05,-1.76018
8.68E-05,-1.75993
8.69E-05,-1.75968
8.70E-05,-1.75943
8.71E-05,-1.75918
8.72E-05,-1.75893
8.73E-05,-1.75868
8.74E-05,-1.75843
8.75E-05,-1.75831
8.76E-05,-1.75818
8.77E-05,-1.75806
8.78E-05,-1.75806
8.79E-05,-1.75806
8.80E-05,-1.75818
8.81E-05,-1.75843
8.82E-05,-1.75868
8.83E-05,-1.75893
8.84E-05,-1.75931
8.85E-05,-1.75981
8.86E-05,-1.76031
8.87E-05,-1.76081
0.0000888,-1.76143
8.89E-05,-1.76218
8.90E-05,-1.76293
8.91E-05,-1.76381
8.92E-05,-1.76456
8.93E-05,-1.76543
8.94E-05,-1.76643
8.95E-05,-1.76731
8.96E-05,-1.76818
8.97E-05,-1.76918
8.98E-05,-1.77006
8.99E-05,-1.77093
9.00E-05,-1.77181
9.01E-05,-1.77268
9.02E-05,-1.77343
9.03E-05,-1.77418
9.04E-05,-1.77493
9.05E-05,-1.77568
9.06E-05,-1.77631
9.07E-05,-1.77693
9.08E-05,-1.77756
9.09E-05,-1.77793
9.10E-05,-1.77831
9.11E-05,-1.77868
9.12E-05,-1.77893
9.13E-05,-1.77906
9.14E-05,-1.77918
9.15E-05,-1.77931
9.16E-05,-1.77918
9.17E-05,-1.77906
9.18E-05,-1.77893
9.19E-05,-1.77868
9.20E-05,-1.77831
9.21E-05,-1.77781
9.22E-05,-1.77731
9.23E-05,-1.77668
9.24E-05,-1.77606
9.25E-05,-1.77531
9.26E-05,-1.77456
9.27E-05,-1.77381
9.28E-05,-1.77293
9.29E-05,-1.77218
9.30E-05,-1.77143
9.31E-05,-1.77068
9.32E-05,-1.76993
9.33E-05,-1.76931
9.34E-05,-1.76868
9.35E-05,-1.76806
9.36E-05,-1.76756
9.37E-05,-1.76718
9.38E-05,-1.76693
9.39E-05,-1.76693
9.40E-05,-1.76693
9.41E-05,-1.76731
9.42E-05,-1.76781
9.43E-05,-1.76843
9.44E-05,-1.76931
9.45E-05,-1.77018
9.46E-05,-1.77143
9.47E-05,-1.77268
9.48E-05,-1.77406
9.49E-05,-1.77556
9.50E-05,-1.77718
9.51E-05,-1.77893
9.52E-05,-1.78081
9.53E-05,-1.78268
9.54E-05,-1.78456
9.55E-05,-1.78643
9.56E-05,-1.78831
9.57E-05,-1.79006
9.58E-05,-1.79168
9.59E-05,-1.79318
9.60E-05,-1.79456
9.61E-05,-1.79556
9.62E-05,-1.79656
9.63E-05,-1.79731
9.64E-05,-1.79781
9.65E-05,-1.79818
9.66E-05,-1.79831
9.67E-05,-1.79831
9.68E-05,-1.79806
9.69E-05,-1.79768
9.70E-05,-1.79706
9.71E-05,-1.79618
9.72E-05,-1.79531
9.73E-05,-1.79418
9.74E-05,-1.79306
9.75E-05,-1.79181
9.76E-05,-1.79056
9.77E-05,-1.78931
9.78E-05,-1.78806
9.79E-05,-1.78681
9.80E-05,-1.78568
9.81E-05,-1.78456
9.82E-05,-1.78343
9.83E-05,-1.78243
9.84E-05,-1.78131
9.85E-05,-1.78031
9.86E-05,-1.77943
9.87E-05,-1.77843
9.88E-05,-1.77768
9.89E-05,-1.77693
9.90E-05,-1.77631
9.91E-05,-1.77568
9.92E-05,-1.77506
9.93E-05,-1.77456
9.94E-05,-1.77393
9.95E-05,-1.77343
9.96E-05,-1.77281
9.97E-05,-1.77231
9.98E-05,-1.77181
0.0000999,-1.77131
0.0001,-1.77081
0.0001001,-1.77043
0.0001002,-1.77018
0.0001003,-1.76981
0.0001004,-1.76956
0.0001005,-1.76918
0.0001006,-1.76893
0.0001007,-1.76856
0.0001008,-1.76831
0.0001009,-1.76793
0.000101,-1.76756
0.0001011,-1.76718
0.0001012,-1.76681
0.0001013,-1.76643
0.0001014,-1.76593
0.0001015,-1.76556
0.0001016,-1.76518
0.0001017,-1.76468
0.0001018,-1.76418
0.0001019,-1.76368
0.000102,-1.76318
0.0001021,-1.76268
0.0001022,-1.76218
0.0001023,-1.76181
0.0001024,-1.76143
0.0001025,-1.76118
0.0001026,-1.76106
0.0001027,-1.76093
0.0001028,-1.76093
0.0001029,-1.76106
0.000103,-1.76131
0.0001031,-1.76156
0.0001032,-1.76193
0.0001033,-1.76231
0.0001034,-1.76281
0.0001035,-1.76343
0.0001036,-1.76418
0.0001037,-1.76481
0.0001038,-1.76556
0.0001039,-1.76631
0.000104,-1.76706
0.0001041,-1.76781
0.0001042,-1.76843
0.0001043,-1.76893
0.0001044,-1.76943
0.0001045,-1.76968
0.0001046,-1.77006
0.0001047,-1.77018
0.0001048,-1.77043
0.0001049,-1.77043
0.000105,-1.77043
0.0001051,-1.77043
0.0001052,-1.77031
0.0001053,-1.77018
0.0001054,-1.76993
0.0001055,-1.76981
0.0001056,-1.76956
0.0001057,-1.76931
0.0001058,-1.76918
0.0001059,-1.76906
0.000106,-1.76906
0.0001061,-1.76906
0.0001062,-1.76918
0.0001063,-1.76943
0.0001064,-1.76968
0.0001065,-1.76993
0.0001066,-1.77018
0.0001067,-1.77056
0.0001068,-1.77093
0.0001069,-1.77131
0.000107,-1.77168
0.0001071,-1.77193
0.0001072,-1.77231
0.0001073,-1.77256
0.0001074,-1.77268
0.0001075,-1.77281
0.0001076,-1.77293
0.0001077,-1.77293
0.0001078,-1.77281
0.0001079,-1.77256
0.000108,-1.77218
0.0001081,-1.77181
0.0001082,-1.77131
